"name","gene","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6"
"gene-SAUSA300_RS01270","gene-SAUSA300_RS01270",0,0,0,0,0,0
"gene-SAUSA300_RS01275","gene-SAUSA300_RS01275",0,0,0,0,0,0
"gene-SAUSA300_RS01280","gene-SAUSA300_RS01280",0,0,0,2,2,0
"gene-SAUSA300_RS01285","gene-SAUSA300_RS01285",0,0,0,0,0,0
"gene-SAUSA300_RS01290","gene-SAUSA300_RS01290",2,6,1,0,2,4
"gene-SAUSA300_RS01295","gene-SAUSA300_RS01295",2,4,5,12,4,4
"gene-SAUSA300_RS01300","gene-SAUSA300_RS01300",0,0,0,0,0,0
"gene-SAUSA300_RS01305","gene-SAUSA300_RS01305",2,2,2,2,2,2
"gene-SAUSA300_RS01310","gene-SAUSA300_RS01310",30,30,16,56,57,73
"gene-SAUSA300_RS01315","gene-SAUSA300_RS01315",6,21,18,32,27,28
"gene-SAUSA300_RS01320","gene-SAUSA300_RS01320",27,25,26,57,36,37
"gene-SAUSA300_RS01325","gene-SAUSA300_RS01325",0,2,0,6,0,4
"gene-SAUSA300_RS01330","gene-SAUSA300_RS01330",4,2,0,12,11,10
"gene-SAUSA300_RS01335","gene-SAUSA300_RS01335",20,17,7,16,21,28
"gene-SAUSA300_RS01340","gene-SAUSA300_RS01340",31,30,32,69,58,39
"gene-SAUSA300_RS01345","gene-SAUSA300_RS01345",64,54,73,112,82,122
"gene-SAUSA300_RS01350","gene-SAUSA300_RS01350",124,148,162,107,100,124
"gene-SAUSA300_RS01355","gene-SAUSA300_RS01355",18,4,8,8,12,13
"gene-SAUSA300_RS01360","gene-SAUSA300_RS01360",4,2,0,2,0,2
"gene-SAUSA300_RS01365","gene-SAUSA300_RS01365",621,646,932,40,28,28
"gene-SAUSA300_RS01370","gene-SAUSA300_RS01370",3900,3894,4262,221,203,151
"gene-SAUSA300_RS01375","gene-SAUSA300_RS01375",0,0,0,0,0,0
"gene-SAUSA300_RS01380","gene-SAUSA300_RS01380",0,0,2,0,0,0
"gene-SAUSA300_RS01385","gene-SAUSA300_RS01385",2,0,2,2,1,4
"gene-SAUSA300_RS01395","gene-SAUSA300_RS01395",2,0,0,0,0,0
"gene-SAUSA300_RS01400","gene-SAUSA300_RS01400",0,0,0,0,0,0
"gene-SAUSA300_RS01405","gene-SAUSA300_RS01405",29,19,27,18,18,8
"gene-SAUSA300_RS01410","gene-SAUSA300_RS01410",4,2,8,5,7,12
"gene-SAUSA300_RS01415","gene-SAUSA300_RS01415",12,22,21,14,18,4
"gene-SAUSA300_RS01420","gene-SAUSA300_RS01420",36,20,10,16,24,18
"gene-SAUSA300_RS15040","gene-SAUSA300_RS15040",0,0,0,0,0,0
"gene-SAUSA300_RS01430","gene-SAUSA300_RS01430",0,0,0,0,0,0
"gene-SAUSA300_RS01435","gene-SAUSA300_RS01435",0,0,2,1,0,1
"gene-SAUSA300_RS01440","gene-SAUSA300_RS01440",0,2,2,6,8,4
"gene-SAUSA300_RS01445","gene-SAUSA300_RS01445",3,15,14,6,3,2
"gene-SAUSA300_RS01450","gene-SAUSA300_RS01450",12,9,11,7,14,6
"gene-SAUSA300_RS01455","gene-SAUSA300_RS01455",0,4,4,2,0,0
"gene-SAUSA300_RS01460","gene-SAUSA300_RS01460",0,2,0,2,0,0
"gene-SAUSA300_RS01465","gene-SAUSA300_RS01465",0,0,0,0,2,0
"gene-SAUSA300_RS01470","gene-SAUSA300_RS01470",0,0,2,4,4,8
"gene-SAUSA300_RS01475","gene-SAUSA300_RS01475",0,0,0,0,0,0
"gene-SAUSA300_RS01480","gene-SAUSA300_RS01480",2,0,0,0,0,4
"gene-SAUSA300_RS01485","gene-SAUSA300_RS01485",4,0,6,0,0,0
"gene-SAUSA300_RS01490","gene-SAUSA300_RS01490",310,500,124,160,195,246
"gene-SAUSA300_RS01495","gene-SAUSA300_RS01495",2,12,6,8,11,15
"gene-SAUSA300_RS01500","gene-SAUSA300_RS01500",2,0,2,0,4,3
"gene-SAUSA300_RS01505","gene-SAUSA300_RS01505",0,0,0,0,1,1
